id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
57083046,57083046,TorontoRBOT,Toronto Region,"We foster powerful collaboration among business, government, thought leaders and community builders across the Toronto region.",http://t.co/EFUk9sVK2C,10689,3143,430,Wed Jul 15 17:46:51 +0000 2009,704,FALSE,12265,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'retweeted_status': {'retweeted': False, 'is_quote_status': False, 'favorite_count': 1, 'retweet_count': 1, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [{'screen_name': 'TorontoRBOT', 'name': 'Toronto Region BOT', 'indices': [0, 12], 'id_str': '57083046', 'id': 57083046}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '840289225283125249', 'in_reply_to_screen_name': 'TorontoRBOT', 'text': '@TorontoRBOT: We\'re assembling a list of ""top cities for corporate innovation and R&amp;D activity."" Who should we know about in Toronto?', 'in_reply_to_user_id_str': '57083046', 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'truncated': False, 'in_reply_to_user_id': 57083046, 'created_at': 'Fri Mar 10 19:52:17 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 840289225283125249, 'favorited': False, 'coordinates': None}, 'retweet_count': 1, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [{'screen_name': 'InnoLead', 'name': 'Innovation Leader', 'indices': [3, 12], 'id_str': '1415574950', 'id': 1415574950}, {'screen_name': 'TorontoRBOT', 'name': 'Toronto Region BOT', 'indices': [14, 26], 'id_str': '57083046', 'id': 57083046}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '840304782191525888', 'in_reply_to_screen_name': None, 'text': 'RT @InnoLead: @TorontoRBOT: We\'re assembling a list of ""top cities for corporate innovation and R&amp;D activity."" Who should we know about inäó_', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Fri Mar 10 20:54:06 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 840304782191525888, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,Toronto Region BOT,0
15762276,15762276,scott_bot,carnegie mellon university,"historian of science, juggler, digital humanist, information scientist, OA advocate. irregular blogger. all views in tweets are somebody else's, I swear.",http://t.co/ywbHtfct5h,3221,868,273,Thu Aug 07 11:45:35 +0000 2008,26430,FALSE,17725,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 2, 'retweet_count': 0, 'place': None, 'in_reply_to_status_id': 841279580686159872, 'entities': {'urls': [], 'user_mentions': [{'screen_name': 'AngeBassa', 'name': 'Angela Bassa', 'indices': [0, 10], 'id_str': '937467860', 'id': 937467860}, {'screen_name': 'mims', 'name': 'Christopher Mims', 'indices': [11, 16], 'id_str': '1769191', 'id': 1769191}, {'screen_name': 'TimFernholz', 'name': 'Tim Fernholz', 'indices': [17, 29], 'id_str': '36444204', 'id': 36444204}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '841282944333418496', 'in_reply_to_screen_name': 'AngeBassa', 'text': '@AngeBassa @mims @TimFernholz I too use 2 mobile browsers daily, and few specialized apps, though I feel like an outlier.', 'in_reply_to_user_id_str': '937467860', 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'truncated': False, 'in_reply_to_user_id': 937467860, 'created_at': 'Mon Mar 13 13:40:58 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': '841279580686159872', 'lang': 'en', 'id': 841282944333418496, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,Scott B. Weingart,0
53093039,53093039,DeathBot9,"Woodinville, WA","I make video games, and have a beautiful wife with 4 boys. It's nutty!",http://t.co/w20yVTyQZc,2747,492,123,Thu Jul 02 15:27:46 +0000 2009,42,FALSE,248,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 4, 'possibly_sensitive': False, 'retweet_count': 2, 'place': {'name': 'Woodinville', 'attributes': {}, 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-122.1764064, 47.723831], [-122.108973, 47.723831], [-122.108973, 47.776251], [-122.1764064, 47.776251]]]}, 'place_type': 'city', 'full_name': 'Woodinville, WA', 'id': '59454533edec2571', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'url': 'https://api.twitter.com/1.1/geo/id/59454533edec2571.json'}, 'in_reply_to_status_id': None, 'entities': {'urls': [{'display_url': 'instagram.com/p/BQgNrWBjeYf/', 'expanded_url': 'https://www.instagram.com/p/BQgNrWBjeYf/', 'indices': [38, 61], 'url': 'https://t.co/TVfVUIWmLz'}], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'geo': {'type': 'Point', 'coordinates': [47.7525, -122.156]}, 'id_str': '831582228908011521', 'in_reply_to_screen_name': None, 'text': 'Blue bowls! @ Woodinville, Washington https://t.co/TVfVUIWmLz', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Tue Feb 14 19:13:48 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 831582228908011521, 'favorited': False, 'coordinates': {'type': 'Point', 'coordinates': [-122.156, 47.7525]}}",FALSE,FALSE,FALSE,Chris Taylor,0
215010722,215010722,BOTLibrary,,Penguin Random House Audio's BOT & Listening Library marketing team...tweeting the sweet sounds of #audiobooks to librarians & listeners of all ages.,http://t.co/RsvYXHbdI6,3196,2536,135,Fri Nov 12 19:52:43 +0000 2010,6392,FALSE,9983,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'possibly_sensitive': False, 'retweet_count': 1, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [{'display_url': 'nytimes.com/2017/03/12/booäó_', 'expanded_url': 'https://www.nytimes.com/2017/03/12/books/the-outsiders-s-e-hinton-book.html', 'indices': [92, 115], 'url': 'https://t.co/8YYPOQElgC'}], 'user_mentions': [{'screen_name': 'nytimes', 'name': 'The New York Times', 'indices': [83, 91], 'id_str': '807095', 'id': 807095}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '841276344797450241', 'in_reply_to_screen_name': None, 'text': '""Once youäó»re a fan of \'The Outsiders,\' youäó»re always a fan of \'The Outsiders\'"" via @nytimes https://t.co/8YYPOQElgC', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Mon Mar 13 13:14:45 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 841276344797450241, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,Books on Tape (BOT),0
22021097,22021097,makerbot,Brooklyn,"MakerBot's connected 3D printing solutions address the wider needs of professionals and educators, evolving their ideas from inspiration to innovation.",http://t.co/Mc0YQhDo6f,146565,522,2800,Thu Feb 26 15:32:20 +0000 2009,4360,FALSE,10026,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 17, 'possibly_sensitive': False, 'retweet_count': 6, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [{'display_url': 'twitter.com/i/web/status/8äó_', 'expanded_url': 'https://twitter.com/i/web/status/839886068963020803', 'indices': [121, 144], 'url': 'https://t.co/nE0T94UavB'}], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '839886068963020803', 'in_reply_to_screen_name': None, 'text': ""MakerBot Print's CAD functionality streamlines the engineering workflow, so Space Systems engineers collaborate &amp; päó_ https://t.co/nE0T94UavB"", 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': True, 'in_reply_to_user_id': None, 'created_at': 'Thu Mar 09 17:10:17 +0000 2017', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 839886068963020803, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,MakerBot,0
219781912,219781912,fahmed92,"Lahore, Pakistan",Studied Accounting & Finance at LUMS with an interest in Marketing . Addicted to movies and TV series. insta: fahmed92,https://t.co/kTS8nNFe3r,262,729,2,Thu Nov 25 21:30:23 +0000 2010,30,FALSE,235,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'possibly_sensitive': False, 'retweet_count': 0, 'place': {'name': 'Paris', 'attributes': {}, 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.2241006, 48.8155214], [2.4699053, 48.8155214], [2.4699053, 48.9021461], [2.2241006, 48.9021461]]]}, 'place_type': 'city', 'full_name': 'Paris, France', 'id': '09f6a7707f18e0b1', 'country_code': 'FR', 'country': 'France', 'contained_within': [], 'url': 'https://api.twitter.com/1.1/geo/id/09f6a7707f18e0b1.json'}, 'in_reply_to_status_id': None, 'entities': {'urls': [{'display_url': 'instagram.com/p/BOhNcY3hPg2Bäó_', 'expanded_url': 'https://www.instagram.com/p/BOhNcY3hPg2BExUZt5bgG6W_7PQXkHqQu3Nlqs0/', 'indices': [67, 90], 'url': 'https://t.co/0WHCOHt2Ly'}], 'user_mentions': [], 'hashtags': [{'indices': [35, 46], 'text': 'inspiraton'}, {'indices': [47, 58], 'text': 'thethinker'}, {'indices': [59, 65], 'text': 'rodin'}], 'symbols': []}, 'geo': {'type': 'Point', 'coordinates': [48.8558693, 2.31598]}, 'id_str': '813708054482939904', 'in_reply_to_screen_name': None, 'text': 'Thinking of a topic for the thesis #inspiraton #thethinker #rodinäó_ https://t.co/0WHCOHt2Ly', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Tue Dec 27 11:28:12 +0000 2016', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 813708054482939904, 'favorited': False, 'coordinates': {'type': 'Point', 'coordinates': [2.31598, 48.8558693]}}",FALSE,FALSE,TRUE,Faheem Ahmed,0
2671520694,2671520694,Abu_Turab_Suri,Lahore,"Engineer at Work. Foodie at Heart.",,13,61,0,Wed Jul 23 03:14:50 +0000 2014,8,FALSE,1,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'retweeted_status': {'retweeted': False, 'is_quote_status': False, 'favorite_count': 214, 'possibly_sensitive': False, 'retweet_count': 164, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [{'display_url': 'dawn.com/news/1173833', 'expanded_url': 'http://www.dawn.com/news/1173833', 'indices': [114, 136], 'url': 'http://t.co/OUpMAiPrse'}], 'user_mentions': [{'screen_name': 'Dawn_News', 'name': 'DawnNews', 'indices': [3, 13], 'id_str': '61155779', 'id': 61155779}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '584215780385886208', 'in_reply_to_screen_name': None, 'text': 'Is @Dawn_News paper still afraid of MQM or biased towards MQM? What the world saw this newspaper was blind to it: http://t.co/OUpMAiPrse', 'in_reply_to_user_id_str': None, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Sat Apr 04 04:47:50 +0000 2015', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 584215780385886208, 'favorited': False, 'coordinates': None}, 'retweet_count': 164, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [{'screen_name': 'ArifAlvi', 'name': 'Dr. Arif Alvi', 'indices': [3, 12], 'id_str': '9959702', 'id': 9959702}, {'screen_name': 'Dawn_News', 'name': 'DawnNews', 'indices': [17, 27], 'id_str': '61155779', 'id': 61155779}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '584227692318367744', 'in_reply_to_screen_name': None, 'text': 'RT @ArifAlvi: Is @Dawn_News paper still afraid of MQM or biased towards MQM? What the world saw this newspaper was blind to it: http://t.coäó_', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Sat Apr 04 05:35:10 +0000 2015', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 584227692318367744, 'favorited': False, 'coordinates': None}",TRUE,FALSE,TRUE,Abu Turab Suri,0
146083929,146083929,meerbaz,Lahore,,,21,23,0,Thu May 20 15:17:06 +0000 2010,0,FALSE,3,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'retweet_count': 0, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '9345117982826496', 'in_reply_to_screen_name': None, 'text': 'i m baaaaak :]', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Mon Nov 29 20:37:04 +0000 2010', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 9345117982826496, 'favorited': False, 'coordinates': None}",TRUE,FALSE,FALSE,Raja Meer Baz,0
1058343692,1058343692,khakwani16,,,,68,255,0,Thu Jan 03 17:34:39 +0000 2013,0,FALSE,6,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 3, 'retweet_count': 0, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [{'indices': [53, 67], 'text': 'happybirthday'}, {'indices': [68, 81], 'text': 'RogerFederer'}], 'symbols': []}, 'geo': None, 'id_str': '511906717500588033', 'in_reply_to_screen_name': None, 'text': 'Its my birthday... I wish that somehow you wish me a #happybirthday #RogerFederer', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Tue Sep 16 15:57:26 +0000 2014', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'en', 'id': 511906717500588033, 'favorited': False, 'coordinates': None}",TRUE,TRUE,FALSE,Muqeet Ahmed Khan,0
298529173,298529173,MateenYasin,Lahore,22 | Electrical Engineering from LUMS | Football | Music | Friends | GYM,,870,667,1,Sat May 14 13:40:00 +0000 2011,243,FALSE,617,en,"{'retweeted': False, 'is_quote_status': False, 'favorite_count': 0, 'retweeted_status': {'retweeted': False, 'is_quote_status': False, 'favorite_count': 3207, 'retweet_count': 2284, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '522276837679177728', 'in_reply_to_screen_name': None, 'text': 'AsÛ±l marifet her gí_n aynÛ± kiÅôiyi yeniden sevebilmektir.', 'in_reply_to_user_id_str': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Wed Oct 15 06:44:36 +0000 2014', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'tr', 'id': 522276837679177728, 'favorited': False, 'coordinates': None}, 'retweet_count': 2284, 'place': None, 'in_reply_to_status_id': None, 'entities': {'urls': [], 'user_mentions': [{'screen_name': 'ataozturkoglu', 'name': 'Ata í_ztí_rkoÛôlu', 'indices': [3, 17], 'id_str': '742289649712893952', 'id': 742289649712893952}], 'hashtags': [], 'symbols': []}, 'geo': None, 'id_str': '522281049846726656', 'in_reply_to_screen_name': None, 'text': 'RT @ataozturkoglu: AsÛ±l marifet her gí_n aynÛ± kiÅôiyi yeniden sevebilmektir.', 'in_reply_to_user_id_str': None, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'truncated': False, 'in_reply_to_user_id': None, 'created_at': 'Wed Oct 15 07:01:20 +0000 2014', 'contributors': None, 'in_reply_to_status_id_str': None, 'lang': 'tr', 'id': 522281049846726656, 'favorited': False, 'coordinates': None}",FALSE,FALSE,FALSE,Mateen Yasin,0
